start,dur,text
2164.059,5.97,their businesses and it's how we develop
2166.91,6.149,our technology ensuring the responsible
2170.029,4.32,development of AI privacy and security
2173.059,4.441,that works for everyone
2174.349,6.18,and products that are accessible at
2177.5,6.63,their core let's start with building AI
2180.529,5.881,for everyone bias has been a concern in
2184.13,4.83,science long before machine learning
2186.41,5.76,came along but the stakes are clearly
2188.96,6.839,higher with AI it's not enough to know
2192.17,7.199,if your model works we need to know how
2195.799,7.53,it works we want to ensure that our AI
2199.369,6.45,models don't reinforce bias that exists
2203.329,4.71,in the real world it's a hard problem
2205.819,5.19,which is why we are doing fundamental
2208.039,5.191,computer science research to improve the
2211.009,4.741,transparency of machine learning models
2213.23,5.4,and reduce bias let me show you what I
2215.75,5.279,mean when computer scientists deploy
2218.63,5.34,machine learning models it can sometimes
2221.029,5.58,be difficult to understand why they make
2223.97,5.129,a certain prediction that's because most
2226.609,5.7,machine learning models appear to
2229.099,5.91,operate on lower level features edges
2232.309,4.051,and lines in a picture color of a single
2235.009,2.761,pixel
2236.36,3.96,that's very different than the
2237.77,7.83,higher-level concepts more familiar to
2240.32,5.97,humans like stripes on a zebra to tackle
2245.6,3.27,this problem
2246.29,5.76,googly-eye researchers are working on a
2248.87,6.15,new methodology called decaf or testing
2252.05,5.52,with concept activation vectors let me
2255.02,5.54,give you an example if it's a machine
2257.57,5.91,learning model trained to detect zebras
2260.56,5.11,you would want to know which variables
2263.48,5.4,were being used to decide if the image
2265.67,5.52,contained a zebra or not decaf can help
2268.88,4.23,you understand if the concept of stripes
2271.19,5.76,was important to the models prediction
2273.11,5.55,in this particular case it makes sense
2276.95,6.51,stripes are an important predictor for
2278.66,7.59,the model now suppose a classifier was
2283.46,5.43,trained on pictures of doctors if the
2286.25,6,training data was mostly males wearing
2288.89,6.18,coats and stethoscopes then the model
2292.25,5.69,could inaccurately assume that being
2295.07,5.43,male was an important prediction factor
2297.94,6.55,there are other important examples as
2300.5,6.96,well now imagine an AI system that could
2304.49,5.94,help with detecting skin cancer to be
2307.46,5.42,effective it would need to recognize a
2310.43,5.21,vied variety of skin tones
2312.88,6.31,representative of the entire population
2315.64,5.68,there's a lot more to do but we are
2319.19,6.32,committed to building AI in a way that's
2321.32,6.66,fair and works for everyone including
2325.51,6.16,identifying and addressing bias in our
2327.98,7.8,own ml models and sharing tools and open
2331.67,6.48,datasets to help you as well another way
2335.78,4.23,we built for everyone is by ensuring
2338.15,4.56,that our products are safe and private
2340.01,5.46,and that people have clear meaningful
2342.71,5.58,choices around their data we strongly
2345.47,6.63,believe that privacy and security are
2348.29,5.97,for everyone not just a few this is why
2352.1,3.69,powerful privacy features and controls
2354.26,4.86,have always been built into Google
2355.79,6.66,services we launched incognito mode in
2359.12,5.31,chrome over a decade ago the pioneered
2362.45,5.55,Google takeout which gives you easy
2364.43,6.12,controls to export your data from email
2368,6.45,contacts photos all of our
2370.55,6.39,anytime you choose to but we know our
2374.45,5.22,work on privacy and security is never
2376.94,4.98,done and we want to do more to stay
2379.67,4.83,ahead of constantly evolving user
2381.92,4.65,expectations we've been working on a
2384.5,6,significant set of enhancements and I
2386.57,6.69,want to talk you through a few today you
2390.5,4.8,can already find all your privacy and
2393.26,5.61,security settings in one place in your
2395.3,6.27,Google account to make sure your Google
2398.87,5.34,account is always at your fingertips we
2401.57,5.61,are making it easily accessible from
2404.21,5.97,your profile photo if you're in search
2407.18,5.52,you can tap on your photo and you can
2410.18,5.46,quickly access the most relevant privacy
2412.7,6.33,controls for search in case your data in
2415.64,6.54,search here you can view and manage your
2419.03,7.26,recent activity and you can easily
2422.18,7.71,change your privacy settings last week
2426.29,5.55,we announced auto-delete controls which
2429.89,5.49,you'll all also be able to access right
2431.84,6.78,from that data helps make search work
2435.38,5.22,better for you and with auto-delete you
2438.62,6.2,can choose how long you want it to be
2440.6,7.8,saved for example 3 or 18 months after
2444.82,5.29,which any old data will be automatically
2448.4,3.05,and continuously deleted from your
2450.11,4.5,account
2451.45,5.32,this is launching today for web and app
2454.61,4.2,activity we'll be rolling it out to
2456.77,4.44,location history in the coming weeks and
2458.81,5.52,we'll continue to bring features such as
2461.21,6.21,this to more controls over time in
2464.33,4.95,addition one tap access to your Google
2467.42,5.45,account will be coming to our major
2469.28,7.77,products including chrome search
2472.87,8.2,assistant YouTube Google News and maps
2477.05,5.01,and speaking of maps if you tap on your
2481.07,3.54,profile photo
2482.06,4.77,in addition defining easy access to your
2484.61,5.55,privacy controls you'll find a new
2486.83,5.07,feature incognito mode incognito mode as
2490.16,3.93,a pop has been a popular feature in
2491.9,4.71,chrome since it launched and we are
2494.09,5.55,bringing this to maps while in incognito
2496.61,5.79,in maps your activity like the places
2499.64,4.26,you search and navigate to won't be
2502.4,4.02,linked to your account
2503.9,5.13,we want to make it easy to enter in and
2506.42,5.79,out of incognito and maps will soon join
2509.03,5.31,Chrome and YouTube with support for
2512.21,13.86,incognito and we'll be bringing it to
2514.34,15.3,search as well this year another way we
2526.07,6.3,ensure your privacy is by working hard
2529.64,4.68,to keep your data secure from Safe
2532.37,4.56,Browsing which now protects over four
2534.32,4.47,billion devices every day to using
2536.93,3.6,tensorflow to significantly reduce
2538.79,5.25,phishing attacks in Gmail
2540.53,6.27,we also encourage users to use 2-step
2544.04,6.45,verification because an additional layer
2546.8,5.88,of protection is always helpful today we
2550.49,4.74,are making 2-step verification even more
2552.68,5.04,convenient for everyone by bringing the
2555.23,5.25,protection of security keys directly
2557.72,5.87,into your Android phone so now you can
2560.48,6.06,confirm a sign-in with just a tap and
2563.59,6.39,today it'll be available to over 1
2566.54,3.44,billion compatible devices
2571.03,7.52,[Applause]
2574.41,7.32,we always want to do more for users but
2578.55,4.95,do it with less data over time so we are
2581.73,4.05,applying the same cutting-edge VI
2583.5,5.52,research that makes our products better
2585.78,7.44,and applying it to your hands user
2589.02,6.69,privacy federated learning this is a new
2593.22,5.31,approach to machine learning developed
2595.71,5.7,by Google is one example it allows
2598.53,5.58,Google's AI products to work better for
2601.41,5.75,you and work better for everyone without
2604.11,7.11,collecting raw data from your device's
2607.16,6.04,instead of selling data to the cloud we
2611.22,5.22,flip the model we ship machine learning
2613.2,6,models directly to your device each
2616.44,6,phone computes an update to the global
2619.2,7.14,model and only those updates not the
2622.44,6.24,data is securely uploaded and aggregated
2626.34,5.43,in large batches to improve the global
2628.68,6.33,model and then the updated global model
2631.77,6.15,is sent back to everyone's device let me
2635.01,6.39,explain it with a concrete example take
2637.92,5.76,G board Google's keyboard using on
2641.4,5.31,device learning alone when new words
2643.68,4.86,become popular G board would not be able
2646.71,2.84,to suggest them until you have typed
2648.54,4.08,them many times
2649.55,6.79,federated learning however allows G
2652.62,7.02,board to learn new words like BTS or
2656.34,5.43,Yolo after thousands of people start
2659.64,4.95,using them without Google ever seeing
2661.77,6.09,anything you type actually with BTS is
2664.59,5.82,probably millions of people this is not
2667.86,5.34,just research in fact G board is already
2670.41,5.28,using federated learning to improve next
2673.2,4.95,word prediction as well as emoji
2675.69,5.76,prediction across tens of millions of
2678.15,5.28,devices it's still very early but we are
2681.45,4.74,excited about the progress and the
2683.43,6.65,potential of federated learning across
2686.19,3.89,many more of our products
2694.33,4.39,privacy and security are the foundation
2696.74,4.59,for all the work we do and will continue
2698.72,5.33,to push the boundaries of technology to
2701.33,5.91,make it even better for our users
2704.05,5.53,building for everyone also means
2707.24,5.52,ensuring that everyone can access our
2709.58,6.09,products the World Health Organization
2712.76,6.27,estimates that 15 percent of the world's
2715.67,6.96,population over 1 billion people has a
2719.03,6.87,disability we believe technology can
2722.63,5.19,help us be more inclusive and AI is
2725.9,4.53,providing us with new tools to
2727.82,5.27,dramatically improve experience for
2730.43,5.55,people with disabilities for example
2733.09,5.59,there are almost 500 million people in
2735.98,5.19,the world who are deaf or hard of
2738.68,5.34,hearing think of how many conversations
2741.17,5.49,are challenging from in person
2744.02,6.78,discussions and phone calls to even
2746.66,7.8,experiencing videos online a few months
2750.8,7.14,ago we launched live transcribe powered
2754.46,6.66,by Google's cloud speech API to caption
2757.94,5.64,conversations in real time you can leave
2761.12,5.16,your phone open with the app and when
2763.58,5.4,someone speaks to you it transcribes
2766.28,6.21,their speech into text those who cannot
2768.98,6.63,or prefer not to speak can also respond
2772.49,5.67,by typing was really inspired by how the
2775.61,5.97,product came about to offer our Google
2778.16,5.22,researchers Dimitri and Chet saw an
2781.58,3.53,opportunity to help people and
2783.38,4.53,collaborate it to develop the app
2785.11,6.52,together with a small team of engineers
2787.91,6.39,and people who volunteered their 20%
2791.63,4.86,time they built live transcribe and it
2794.3,6.14,is now available in over 70 languages
2796.49,3.95,and dialects on Android devices
2801.12,5.729,[Applause]
2803.39,5.86,today we are going further and extending
2806.849,5.581,this technology we are announcing a new
2809.25,6.24,feature called live caption live caption
2812.43,5.329,makes all content no matter its origin
2815.49,4.349,more accessible to everyone
2817.759,4.681,incredible thing is that it works
2819.839,6.27,completely on device so there's no delay
2822.44,7.599,with one click you can turn on captions
2826.109,22.44,for a web video podcast or even on a
2830.039,20.73,moment you capture at home only possible
2848.549,5.04,due to our recent breakthroughs in
2850.769,5.371,speech recognition technology we
2853.589,7.44,recently tested live caption with some
2856.14,7.8,uses let's take a look this volume
2861.029,15.06,button here and then we turn on that
2863.94,16.05,button amazing it feels like wow it's
2876.089,5.881,such a simple feature but it has such an
2879.99,4.289,impact on me it's gonna make our lives
2881.97,4.2,so much easier I wake up two o'clock in
2884.279,3.921,the morning to walk so wake up my mom or
2886.17,2.03,dad
2891.84,3.5,[Applause]
2895.64,5.5,you can imagine all the use cases for
2898.53,5.58,the broader community - for example the
2901.14,5.4,ability to watch any video if you're in
2904.11,4.92,a meeting or on the subway without
2906.54,3.96,disturbing the people around you the
2909.03,3.3,Android team is going to talk a little
2910.5,4.74,bit later today about what made live
2912.33,5.25,caption possible we are also exploring
2915.24,5.01,how this technology can caption phone
2917.58,5.97,calls but we want to go one step further
2920.25,6.78,and actually allow more people to
2923.55,6.99,respond and accomplish tasks over their
2927.03,6.78,phones as you see in this example Nicole
2930.54,6.3,who is deaf and prefers not to speak can
2933.81,6.09,receive a call from her hairstylist with
2936.84,5.61,smart compose and smart reply she can
2939.9,9.42,answer the call and interact let's take
2942.45,8.64,a look hi this is Nicole's assistive
2949.32,3.33,Chat she'll see what you say and her
2951.09,2.69,responses will be read back to you
2952.65,6.99,starting now
2953.78,10.78,hi Nicole its Jaime how are you hey
2959.64,6.18,Jaime I'm good and you great are we
2964.56,9.27,still on for your 1:00 p.m. haircut
2965.82,10.44,tomorrow sorry can you do 3 p.m. uh yes
2973.83,6.32,I can do 3 p.m. we have a lot to catch
2976.26,6.05,up on I want to hear all about your trip
2980.15,6.58,perfect thumbs up
2982.31,6.78,great see you tomorrow bye thumbs up
2986.73,3.65,indeed
2989.09,3.969,[Applause]
2990.38,6.01,[Music]
2993.059,5.891,we call this new technology live relay
2996.39,5.439,while there's still more work to do
2998.95,5.49,we are excited to see how it can help
3001.829,5.881,people like Nicole get things done more
3004.44,5.79,easily just like with live caption this
3007.71,5.67,runs completely on device and these
3010.23,4.769,conversations remain private to you we
3013.38,4.439,also want to help those with speech
3014.999,6.77,disorders or people whose speech has
3017.819,7.05,been affected by a stroke or ALS
3021.769,5.29,researchers from google AI are exploring
3024.869,4.561,the idea of personalized communication
3027.059,5.19,models that can better understand
3029.43,6.329,different types of speech as well as how
3032.249,7.02,a I can help even those who cannot speak
3035.759,14.371,to communicate we call this research
3039.269,18.74,project Dafoe Nia let's take a look but
3050.13,7.879,it is not fun it will not offend to you
3058.549,5.171,no one's ever Co active large datasets
3061.019,7.401,of people whose speech is hard for
3063.72,10.799,others to understand we're okay working
3068.42,8.109,for GF who cuts so bad ever they're not
3074.519,6.081,used in training the speech recognition
3076.529,6.841,models the game is is to record things
3080.6,5.13,and then have it recognized things that
3083.37,7.8,you say that aren't in the trainings
3085.73,7.42,"you're Dimitri recorded 15,000 phrase it"
3091.17,6.89,wasn't obvious that this was going to
3093.15,4.91,work he just sat there he kept recording
3098.63,13.71,all interactive devices able to
3104.75,7.59,understand any person who speaks to them
3112.4,6.01,you can see that it's possible to make a
3115.44,4.65,speech recognizer to work for Dimitri it
3118.41,3.66,should be possible to make it work for
3120.09,3.27,many people even people if you can't
3122.07,2.85,speak because they've lost the ability
3123.36,4.25,to speak the work that Zhang Sheng is
3124.92,8.88,done on you know voice utterances from
3127.61,7.78,sounds alone you can communicate but
3133.8,2.31,there might be other ways of
3135.39,3.87,communicating
3136.11,5.85,most people with ALS end up using an
3139.26,5.09,on-screen keyboard and having to type
3141.96,3.87,each individual letter with their eyes
3144.35,5.83,for me
3145.83,5.88,communicating is Steve Mike crack a joke
3150.18,3.27,and it's related to something that
3151.71,3.59,happened you know a few minutes ago the
3153.45,4.38,idea is to create a tool so that Steve
3155.3,4.66,constrain machine learning models him
3157.83,3.95,stone to understand his facial
3159.96,5.529,expressions
3161.78,6.299,[Applause]
3165.489,5.8,to be able to laugh to be able to cheer
3168.079,6.12,to be able to boo things that seem maybe
3171.289,5.67,so worthless but actually aren't so core
3174.199,4.02,to human I still think this is only the
3176.959,3.75,tip of the iceberg we're not even
3178.219,3.63,scratching the surface yet of what is
3180.709,2.85,possible if we can get speech
3181.849,3.42,recognizers to work with small numbers
3183.559,3.54,of people who were in lessons which we
3185.269,4.8,can then combine to build something that
3187.099,8.51,really works for everyone but understand
3190.069,5.54,we understood the absolute I'm doing
3205.26,4.93,we are working hard to provide these
3207.88,4.86,voice recognition models through the
3210.19,4.74,Google Assistant in the future but as
3212.74,4.59,you saw in Dimitri's case this will only
3214.93,5.85,be possible with many more speech
3217.33,6.63,samples to train our models on if you or
3220.78,5.7,someone you know has slurred or hard to
3223.96,5.46,understand speech we'd like to invite
3226.48,6.66,you to submit voice samples to help
3229.42,7.17,accelerate this effort fundamentally I
3233.14,6.15,research which enables new products for
3236.59,6.029,people with disabilities is an important
3239.29,6.84,way we drive our mission forward live
3242.619,7.141,transcribe live caption live relay and
3246.13,6.32,project fo Nia will ultimately result in
3249.76,5.52,products that work better for all of us
3252.45,6.01,it's a perfect example of what we mean
3255.28,6.42,by building a more helpful Google for
3258.46,6.33,everyone one of the most powerful ways
3261.7,4.97,we deliver help to our users is through
3264.79,4.65,our open source platforms like Android
3266.67,4.85,to tell you more I'd like to invite
3269.44,9.779,Stefan to the stage
3271.52,7.699,[Music]
3280.15,10.3,it's amazing we're here to talk about
3282.2,10.8,Androids version 10 and we get to
3290.45,5.73,celebrate a milestone together today
3293,10.41,there are over 2.5 billion active
3296.18,9.659,Android devices and today we want to
3303.41,6.24,walk you through what's coming next in
3305.839,6.121,Android queue innovation security and
3309.65,6.689,privacy the central theme of the Q
3311.96,6.42,release and digital well-being a lot has
3316.339,4.591,changed since one dot o smartphones have
3318.38,5.209,evolved from an early vision to this
3320.93,5.55,integral tool in our lives and they are
3323.589,5.141,incredibly helpful looking ahead we see
3326.48,5.52,another big wave of innovation coming to
3328.73,5.19,make them even more helpful QED shows
3332,4.559,Android shaping the leading edge of
3333.92,4.98,mobile innovation with over a hundred
3336.559,5.071,and eighty device makers around the
3338.9,4.83,world driven by this powerful ecosystem
3341.63,4.949,many innovations have been first on
3343.73,5.849,Android from large screens to the first
3346.579,5.431,OLED display and this year display
3349.579,4.561,technology will take an even bigger leap
3352.01,5.609,with foldables coming from multiple
3354.14,6.81,Android OMS these devices open up a
3357.619,5.521,completely new category which though
3360.95,4.889,early just might change the future of
3363.14,4.26,mobile computing foldables take
3365.839,3.931,advantage of a completely new display
3367.4,4.53,technology they literally Bend and fold
3369.77,5.339,from phone to tablet sized screen and
3371.93,5.85,cue maximizes what's possible on these
3375.109,5.401,screens for instance foldables are great
3377.78,4.92,for multitasking so I can watch some
3380.51,3.66,funny videos my sister sent me while we
3382.7,5.07,chat about what we're gonna do for my
3384.17,6.12,mom on mother's day but the feature I'm
3387.77,4.68,most excited about is screen continuity
3390.29,4.2,so let's say we finished chatting it's
3392.45,4.23,time to head out and I'm standing around
3394.49,5.099,waiting for my ride so I start playing a
3396.68,6.6,game on the folded smaller screen when I
3399.589,5.581,sit down and unfold the game seamlessly
3403.28,4.44,transfers to the larger screen it is so
3405.17,5.37,cool and I can pick up exactly where I
3407.72,5.58,was playing now multiple OMS will launch
3410.54,12.9,foldables this year all run
3413.3,14.07,Android another exciting innovation is 5
3423.44,7.41,g 5g networks mean consistently faster
3427.37,5.7,speeds with lower latency so apps and
3430.85,5.04,especially games can target rich
3433.07,5.49,immersive experiences to these 5g
3435.89,6.06,connected phones and Android Q supports
3438.56,5.73,5g natively this year more than 20
3441.95,5.58,carriers will launch networks and our
3444.29,5.7,OEMs have over a dozen 5g ready phones
3447.53,5.79,all launching this year and they'll all
3449.99,5.31,be running Android now in addition to
3453.32,4.68,hardware innovation we're also seeing
3455.3,5.85,huge firsts in software driven by
3458,6.12,advances in on device machine learning
3461.15,4.74,center showed live caption now I would
3464.12,3.63,really like you to see it in action
3465.89,4.07,and then take you under the hood please
3467.75,5.78,welcome Tristan
3469.96,6.46,[Applause]
3473.53,5.71,like many people I watch videos without
3476.42,4.68,sound when I'm on the go with captions I
3479.24,3.93,can still keep up even if I'm in a
3481.1,5.67,crowded space I'm sitting in a meeting
3483.17,6.03,so for me they're super helpful but for
3486.77,3.99,the almost 500 million people who are
3489.2,5.34,deaf or hard of hearing
3490.76,6.09,captions are critical today loads of
3494.54,4.44,mobile content embeds audio from video
3496.85,2.6,to voice messages and everything in
3498.98,3.33,between
3499.45,6.58,without captions this content is nowhere
3502.31,6.3,near as accessible live caption in Q
3506.03,5.16,takes audio and instantly turns it into
3508.61,4.62,text let's take a look at this video my
3511.19,5.34,friend Heather sent me yesterday to turn
3513.23,16.32,it on I open the volume rocker and tap
3516.53,15.33,the live caption body is walking away so
3529.55,4.68,as you can see these captions appear in
3531.86,5.16,real-time over a video that would
3534.23,6,normally never have captions you can
3537.02,6.24,expand them contract them move them up
3540.23,5.73,and down it's a lot of fun but what
3543.26,5.1,makes this feature so incredible is that
3545.96,3.39,it's entirely done on device in fact it
3548.36,4.83,doesn't need to be connected to the
3549.35,7.76,Internet at all if we take a look this
3553.19,3.92,entire demo I've done in airplane mode
3557.71,6.2,thank you thank you
3560.69,5.559,okay so how is this possible it's
3563.91,4.53,because of a huge breakthrough in speech
3566.249,2.731,recognition that we made earlier this
3568.44,2.97,year
3568.98,4.74,this one's required streaming audio to
3571.41,4.74,the cloud to run a two gigabyte model
3573.72,5.339,for processing now we can do that same
3576.15,6,processing on device using a recurrent
3579.059,5.19,neural net in just 80 megabytes the live
3582.15,5.669,speech model is running on the phone and
3584.249,6.09,no audio stream ever leaves it all this
3587.819,4.02,protects user privacy and this is OS
3590.339,4.49,wide which means you get those captions
3591.839,5.401,in all your apps and in web content too
3594.829,4.871,now the same on device machine-learning
3597.24,5.67,powers another useful cue feature which
3599.7,5.159,is smart reply with smart reply the OS
3602.91,4.56,helpfully suggests what you'll type next
3604.859,5.4,it'll predict the text you'll type even
3607.47,4.68,emoji and it's a huge time-saver what's
3610.259,4.86,really cool is this works now for all
3612.15,4.679,messaging apps and Android like in
3615.119,3.841,signal you can see the OS providing
3616.829,4.53,these helpful suggestions and smart
3618.96,4.44,reply can now even predict the actions
3621.359,2.821,that you'll take so say a friend sends
3623.4,2.609,you an address
3624.18,3.929,and normally you copy and paste that
3626.009,3.631,into maps that's kind of a hassle with
3628.109,4.051,smart reply you just tap and it will
3629.64,5.429,open for you and all this is saving you
3632.16,4.409,time on device machine learning powers
3635.069,3.361,everything from these incredible
3636.569,3.45,breakthroughs like live caption to
3638.43,4.379,helpful everyday features like smart
3640.019,5.611,reply and it does this with no user
3642.809,6.81,input ever leaving the phone all of
3645.63,5.28,which protects user privacy now there's
3649.619,2.611,one more addition to Android cue that's
3650.91,3.899,small but you've been asking us about
3652.23,5.539,for a while and that is dark theme and
3654.809,2.96,we're launching it and cue
3661.05,4.18,so you can activate it by using the
3663.609,3.391,quick tile or by turning on battery
3665.23,3.93,saver and in fact it will help you save
3667,4.32,battery your OLED display is one of the
3669.16,4.439,most power hungry components in your
3671.32,4.83,phone so by lighting up less pixels will
3673.599,5.791,save you battery so that's innovation
3676.15,5.78,but we feel all innovation must happen
3679.39,5.61,within a frame of security and privacy
3681.93,5.62,people now carry phones constantly and
3685,5.43,we trust them with a lot of personal
3687.55,5.549,information you should always be in
3690.43,5.07,control of what you share and who you
3693.099,4.681,share it with and that's why the central
3695.5,4.68,a second area will cover and the central
3697.78,5.61,focus of the release is security and
3700.18,5.16,privacy now over the years androids
3703.39,5.16,built out a huge set of protections
3705.34,6.269,already file based encryption SSL by
3708.55,6.12,default security and s work profiles and
3711.609,5.271,many of these were first on Android and
3714.67,5.1,Android has the most widely deployed
3716.88,6.91,security and anti-malware service of any
3719.77,6.72,OS with Google Play protect it runs on
3723.79,7.799,every device and it scans over 50
3726.49,7.47,billion apps a day in fact in Gartner's
3731.589,6.141,2019 security report which was published
3733.96,7.159,this week Android scored the highest
3737.73,6.43,possible rating in 26 out of 30
3741.119,5.651,categories it's ahead on multiple points
3744.16,6.06,from authentication to network security
3746.77,5.849,to malware protection and more at the
3750.22,4.379,same time we wanted to go much further
3752.619,4.771,and that's why Android q' includes
3754.599,5.101,almost 50 features focused on security
3757.39,6.09,and privacy all providing more
3759.7,5.94,protection transparency and control so
3763.48,4.02,first in queue we brought privacy to the
3765.64,3.87,top level in settings and there you'll
3767.5,2.97,find a number of important controls all
3769.51,3.39,in one place
3770.47,5.99,activity data location history add
3772.9,6.15,settings and you decide what's on or off
3776.46,4.78,now location is another place we've
3779.05,4.68,created tools for more transparency and
3781.24,4.47,control now location can be really
3783.73,4.859,helpful especially when you're lost in a
3785.71,5.25,new place but it's also some of your
3788.589,4.411,most personal information and you should
3790.96,4.29,again always be in control
3793,5.55,of who you share it with and how they
3795.25,5.01,can use it so first if you're wondering
3798.55,4.38,which apps can be accessing your
3800.26,5.19,location we make it easy for you to know
3802.93,5.01,with Q your device will give you helpful
3805.45,4.32,reminders whenever an app accesses
3807.94,4.89,location when you're not actively using
3809.77,5.57,that app so you can review and decide do
3812.83,5.7,you want to continue sharing or not
3815.34,5.23,second Q will give you more control over
3818.53,4.56,how you share location data with apps
3820.57,4.44,for example say you want to get pizza
3823.09,4.83,delivered you can choose to share your
3825.01,6,location only while the app is in use
3827.92,6.33,and as soon as you close you'll stop
3831.01,4.83,sharing location finally what if you're
3834.25,3.39,wondering what kind of location do all
3835.84,3.66,my apps have in queue we've brought
3837.64,4.29,location controls to the forefront in
3839.5,4.71,settings so you can quickly review every
3841.93,5.31,app and change location access with
3844.21,4.62,simple controls now there are many many
3847.24,4.58,more enhancements to security and
3848.83,5.18,privacy throughout the OS like TLS v3
3851.82,4.39,encryption for low-end devices
3854.01,4.15,randomizing your MAC address by default
3856.21,4.89,and many more and you can read about all
3858.16,5.04,of these in our blog post this week but
3861.1,4.14,there's one more really big thing for
3863.2,4.47,security now your Android device gets
3865.24,3.54,regular up security updates already but
3867.67,3.39,you still have to wait for the release
3868.78,5.04,and you have to reboot when they come we
3871.06,5.52,want you to get these faster even faster
3873.82,6.51,and that's why in cue we're making a set
3876.58,5.79,of OS modules updatable directly over
3880.33,3.9,the air so now these can be updated
3882.37,2.49,individually as soon as they are
3884.23,4.67,available
3884.86,4.04,and without a reboot of the device
3893.18,4.169,now this was a huge technical challenge
3895.309,4.591,for updating these in the background the
3897.349,4.051,same way we're updating Google Apps it's
3899.9,3.33,easier for our partners with whom we're
3901.4,4.26,working closely but more importantly
3903.23,3.839,it's much better for you you can learn
3905.66,3.78,more about this at the session what's
3907.069,3.75,new in Android now there's one more
3909.44,2.31,thing that's changed since the early
3910.819,2.76,days of Android
3911.75,3.69,now people carry smartphones everywhere
3913.579,4.561,because they're really helpful but we're
3915.44,5.31,also spending a lot of time on phones
3918.14,5.04,and people tell us sometimes they wish
3920.75,4.65,they'd spent more time on other things
3923.18,5.639,we want to help people find balance and
3925.4,5.37,digital well-being and yes sometimes
3928.819,4.77,this means making it easier to put your
3930.77,5.009,device away entirely and focus on the
3933.589,4.02,times that really matter that's why last
3935.779,4.08,year we launched digital well-being
3937.609,4.771,tools which dashboards app timers
3939.859,4.561,flipped ashesh and winddown
3942.38,4.26,to help you set the phone down and get
3944.42,4.59,to sleep at night and these tools are
3946.64,4.979,really helping app timers helped users
3949.01,5.819,stick to their goals over 90% of the
3951.619,5.761,time and users of wind down had a 27
3954.829,4.5,percent drop in night time usage if
3957.38,4.53,you're not using these already I would
3959.329,4.77,really recommend them but this year we
3961.91,4.379,want to help even more with distraction
3964.099,4.23,a lot of times I just want to sit down
3966.289,3.75,and focus to get something done and when
3968.329,2.911,I'm trying to do this like working maybe
3970.039,2.911,it's studying for you
3971.24,3.66,I don't want email or anything else to
3972.95,5.28,distract me and that's why we've created
3974.9,6.24,a new mode for Android it's called focus
3978.23,4.68,mode when I enter focus mode I can
3981.14,4.679,select the apps that I find distracting
3982.91,3.99,for me that's email the news so now
3985.819,3.451,they're turned off and I could really
3986.9,4.59,get to work those apps that distract me
3989.27,3.599,are disabled but I can still keep text
3991.49,4.349,because it's important to me that my
3992.869,4.17,family can always get a hold of me until
3995.839,3.331,I come out of focus mode and then
3997.039,6.321,everything is back focus mode is coming
3999.17,8.63,to devices on P and Q this fall
4003.36,7.12,[Applause]
4007.8,6.27,now finally I want to talk about
4010.48,6.42,families for 84% of us parents
4014.07,5.77,technology used by our kids is a top
4016.9,5.57,concern in the US the average age of
4019.84,5.58,kids getting phones is now eight in
4022.47,5.08,queue family linked parental controls
4025.42,4.23,will be built right into the settings of
4027.55,4.23,the device so when you set up a device
4029.65,5.07,for someone in your family family link
4031.78,5.28,will help connect it to a parent and you
4034.72,5.58,can review any apps that your child
4037.06,5.73,wants to install after that you can set
4040.3,4.26,daily screen time limits you can check
4042.79,4.38,where the apps where my kids are
4044.56,5.07,spending time and you can set a device
4047.17,5.37,bedtime so your kids can disconnect and
4049.63,5.64,get to sleep and now in Android cue you
4052.54,4.68,can set time limits on specific apps and
4055.27,3.72,when your child hits light device
4057.22,6.08,bedtime if you want to give them just
4058.99,4.31,five more minutes now we have Bonus Time
4065.67,3.52,now there's a ton more in queue that we
4067.75,3.45,don't have time to cover a ton
4069.19,4.11,everything from streaming media to
4071.2,5.04,hearing aids to better connectivity to
4073.3,5.28,new gesture UI and more so today I'm
4076.24,6.69,excited to announce that cue beta 3 is
4078.58,10.35,available on 21 devices that is twelve
4082.93,8.37,OEMs plus all pixels and that is more
4088.93,3.66,than double last year we hope you head
4091.3,2.85,over to the link to get it on your phone
4092.59,3.9,because we would love to have you try it
4094.15,11.31,out and now I will hand it over to Rick
4096.49,10.44,thank you very much thanks Steph well
4105.46,4.23,we've heard about some terrific
4106.93,4.8,innovations today an Android AI and the
4109.69,4.35,assistant and real breakthroughs and how
4111.73,4.17,we're able to help our users I'd like to
4114.04,3.78,spend a few minutes and talk about how
4115.9,4.95,some of those come to life and are made
4117.82,5.039,by Google products now we continue to
4120.85,4.62,believe that the biggest breakthroughs
4122.859,5.881,are happening at the intersection of AI
4125.47,5.94,software and hardware whether that's a
4128.74,5.33,tensor processing unit an entire data
4131.41,6.21,center the phone in your hand or a
4134.07,7.17,helpful smart display in your home let's
4137.62,7.11,start there the smart home of today is
4141.24,6.01,fragmented and frustrating to deliver
4144.73,4.23,real help in the home you can't start
4147.25,4.71,with technology you have to start with
4148.96,6.36,people and we've always worked to put
4151.96,6.42,people first and build technology around
4155.32,4.86,their needs there's no more important
4158.38,5.12,place to get this right than in the home
4160.18,3.32,let's take a look
4164.29,14.75,Oh as we roll down this unfamiliar Road
4180.089,20.011,this way just know you're not
4191.149,8.951,[Music]
4205.07,6.289,[Music]
